split,image_path,xml_path,object_name,before,after,reason
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025.xml,4,"(129.0, 5.0, 155.0, 55.0)","(129, 5, 155, 53)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025_extra.xml,ی,"(83.0, 5.0, 129.0, 54.0)","(83, 5, 129, 53)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03025_extra.xml,4,"(129.0, 5.0, 155.0, 55.0)","(129, 5, 155, 53)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03035.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03035.xml,1,"(139.0, 8.0, 196.0, 120.0)","(139, 8, 196, 118)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03035_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03035_extra.xml,1,"(139.0, 8.0, 196.0, 120.0)","(139, 8, 196, 118)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03152.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/03152.xml,3,"(100.0, 21.0, 114.0, 47.0)","(100, 21, 114, 45)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04472.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04472.xml,7,"(393.0, 29.0, 438.0, 98.0)","(393, 29, 437, 98)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04472_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04472_extra.xml,7,"(393.0, 29.0, 438.0, 98.0)","(393, 29, 437, 98)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04521.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04521.xml,0,"(189.0, 20.0, 217.0, 44.0)","(189, 20, 216, 44)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04540.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04540.xml,3,"(163.0, 15.0, 196.0, 49.0)","(163, 15, 194, 49)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04543_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04543_1.xml,2,"(144.0, 14.0, 164.0, 61.0)","(144, 14, 164, 60)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04618.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04618.xml,ه‍,"(111.0, 22.0, 167.0, 67.0)","(111, 22, 167, 65)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04659.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04659.xml,3,"(140.0, 22.0, 157.0, 48.0)","(140, 22, 157, 47)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04677.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/04677.xml,9,"(133.0, 3.0, 151.0, 42.0)","(133, 3, 151, 40)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06151.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06151.xml,1,"(259.0, 21.0, 297.0, 75.0)","(259, 21, 297, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06181.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06181.xml,6,"(542.0, 55.0, 606.0, 158.0)","(542, 55, 606, 157)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06257.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06257.xml,2,"(30.0, 23.0, 60.0, 69.0)","(30, 23, 60, 67)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.xml,9,"(13.0, 8.0, 28.0, 38.0)","(13, 8, 28, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.xml,5,"(27.0, 8.0, 42.0, 38.0)","(27, 8, 42, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06270_1.xml,2,"(67.0, 6.0, 81.0, 38.0)","(67, 6, 81, 37)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338.xml,2,"(92.0, 3.0, 111.0, 44.0)","(92, 3, 111, 42)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338.xml,1,"(172.0, 11.0, 189.0, 44.0)","(172, 11, 189, 42)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338_extra.xml,2,"(92.0, 3.0, 111.0, 44.0)","(92, 3, 111, 42)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06338_extra.xml,1,"(172.0, 11.0, 189.0, 44.0)","(172, 11, 189, 42)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06339_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06339_1.xml,2,"(44.0, 16.0, 76.0, 95.0)","(44, 16, 76, 94)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06355.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06355.xml,7,"(602.0, 54.0, 666.0, 160.0)","(602, 54, 666, 159)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06368.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06368.xml,8,"(90.0, 6.0, 100.0, 23.0)","(90, 6, 100, 22)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06368_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06368_extra.xml,8,"(90.0, 6.0, 100.0, 23.0)","(90, 6, 100, 22)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06372.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06372.xml,8,"(92.0, 8.0, 105.0, 24.0)","(92, 8, 103, 24)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06382.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06382.xml,1,"(376.0, 63.0, 412.0, 156.0)","(376, 63, 412, 155)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06404.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/06404.xml,1,"(11.0, 5.0, 18.0, 19.0)","(11, 5, 18, 18)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07756.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07756.xml,6,"(459.0, 39.0, 500.0, 125.0)","(459, 39, 499, 125)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07796.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07796.xml,6,"(153.0, 20.0, 181.0, 70.0)","(153, 20, 181, 69)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07812.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07812.xml,2,"(504.0, 60.0, 571.0, 151.0)","(504, 60, 569, 151)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07905.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/07905.xml,5,"(14.0, 10.0, 32.0, 37.0)","(14, 10, 32, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09194.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09194.xml,2,"(60.0, 30.0, 96.0, 115.0)","(60, 30, 96, 114)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09543.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09543.xml,2,"(441.0, 13.0, 505.0, 152.0)","(441, 13, 505, 150)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09544.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09544.xml,4,"(288.0, 9.0, 326.0, 97.0)","(288, 9, 326, 95)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09545.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09545.xml,9,"(11.0, 5.0, 23.0, 34.0)","(11, 5, 23, 33)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09547_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09547_1.xml,9,"(93.0, 5.0, 107.0, 24.0)","(93, 5, 106, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09714.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09714.xml,6,"(86.0, 11.0, 97.0, 27.0)","(86, 11, 97, 26)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09822.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09822.xml,ط,"(208.0, 46.0, 279.0, 157.0)","(208, 46, 279, 155)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09882.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09882.xml,8,"(191.0, 22.0, 212.0, 59.0)","(191, 22, 212, 58)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09922.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/09922.xml,5,"(99.0, 26.0, 179.0, 148.0)","(99, 26, 179, 147)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10046.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10046.xml,8,"(50.0, 25.0, 94.0, 119.0)","(50, 25, 94, 118)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10046_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10046_extra.xml,8,"(50.0, 25.0, 94.0, 119.0)","(50, 25, 94, 118)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10073.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/10073.xml,1,"(460.0, 29.0, 497.0, 112.0)","(460, 29, 497, 111)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11601_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11601_1.xml,6,"(85.0, 1.0, 98.0, 34.0)","(85, 1, 98, 33)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11602.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11602.xml,6,"(154.0, 15.0, 176.0, 55.0)","(154, 15, 175, 55)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11647.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11647.xml,2,"(265.0, 7.0, 304.0, 79.0)","(265, 7, 304, 78)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11690_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11690_1.xml,8,"(54.0, 55.0, 111.0, 147.0)","(54, 55, 111, 146)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11803.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11803.xml,9,"(348.0, 16.0, 391.0, 117.0)","(348, 16, 391, 115)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11839.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11839.xml,3,"(101.0, 9.0, 115.0, 32.0)","(101, 9, 114, 32)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11839_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/11839_extra.xml,3,"(101.0, 9.0, 115.0, 32.0)","(101, 9, 114, 32)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/12022.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/12022.xml,8,"(716.0, 7.0, 887.0, 233.0)","(716, 7, 887, 231)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13862.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13862.xml,1,"(500.0, 31.0, 547.0, 113.0)","(500, 31, 545, 113)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13896.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13896.xml,1,"(53.0, 82.0, 97.0, 179.0)","(53, 82, 97, 178)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13910_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13910_1.xml,8,"(162.0, 25.0, 199.0, 83.0)","(162, 25, 198, 83)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13962.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13962.xml,و,"(34.0, 3.0, 50.0, 25.0)","(34, 3, 50, 24)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13997.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/13997.xml,3,"(208.0, 14.0, 228.0, 59.0)","(208, 14, 227, 59)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/14049_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/14049_1.xml,2,"(535.0, 30.0, 599.0, 155.0)","(535, 30, 599, 154)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/14061.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/14061.xml,8,"(152.0, 12.0, 167.0, 37.0)","(152, 12, 167, 36)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15350.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15350.xml,4,"(136.0, 11.0, 152.0, 38.0)","(136, 11, 151, 38)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15367.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15367.xml,4,"(209.0, 24.0, 232.0, 75.0)","(209, 24, 232, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15367.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15367.xml,4,"(235.0, 27.0, 260.0, 75.0)","(235, 27, 260, 74)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15746.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15746.xml,ج,"(84.0, 20.0, 119.0, 79.0)","(84, 20, 119, 77)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15841.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15841.xml,8,"(270.0, 18.0, 297.0, 60.0)","(270, 18, 295, 60)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15841_extra.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15841_extra.xml,8,"(270.0, 18.0, 297.0, 60.0)","(270, 18, 295, 60)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15914.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15914.xml,8,"(249.0, 15.0, 294.0, 118.0)","(249, 15, 294, 116)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15923_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15923_1.xml,6,"(550.0, 68.0, 606.0, 161.0)","(550, 68, 606, 159)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15939.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15939.xml,3,"(292.0, 72.0, 328.0, 135.0)","(292, 72, 328, 134)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15985.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/15985.xml,6,"(602.0, 61.0, 665.0, 162.0)","(602, 61, 665, 161)",Tiny overflow clamped: max_overflow=1.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16086.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16086.xml,4,"(263.0, 19.0, 320.0, 120.0)","(263, 19, 320, 118)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16086.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16086.xml,8,"(484.0, 43.0, 527.0, 120.0)","(484, 43, 527, 118)",Tiny overflow clamped: max_overflow=2.000px
train,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16092_1.jpg,/Users/sam/Desktop/aiolearn/My_projects/CLPR/Datasets/DS_model_2/train/16092_1.xml,8,"(1050.0, 50.0, 1166.0, 252.0)","(1050, 50, 1166, 250)",Tiny overflow clamped: max_overflow=2.000px
